customer_id,name,age,gender,occupation,occupation_type,monthly_income,open_account_date,lifecycle_stage,marriage_status,city_level,branch_name,create_time,update_time
33c44545627f41e8ad113027340de3e9,王丹,49,男,律师,专业人士,49458.85,2019-07-01,新客户,已婚,二线城市,青岛银行市北支行,2025-05-02 11:41:49,2025-05-02 11:41:49
f57cf98d475d43c1935c1bf752172c98,李旭,43,男,产品经理,互联网从业者,30160.66,2024-08-10,成熟客户,未婚,一线城市,青岛银行市南支行,2025-05-02 11:41:49,2025-05-02 11:41:49
da305778800041efa0fd7eb45e8f6308,宋超,51,女,医生,专业人士,50352.29,2015-11-03,价值客户,未婚,二线城市,青岛银行市南支行,2025-05-02 11:41:49,2025-05-02 11:41:49
6a69b6b6242045668314bb75ab7052fe,刘璐,60,男,贸易公司老板,私营业主,42795.64,2015-10-13,成熟客户,已婚,二线城市,青岛银行黄岛支行,2025-05-02 11:41:49,2025-05-02 11:41:49
5bf2a6aa568e4a13938a1c333e7d12b4,丁婷婷,42,男,餐饮店主,私营业主,24728.01,2019-01-30,新客户,未婚,二线城市,青岛银行李沧支行,2025-05-02 11:41:49,2025-05-02 11:41:49
17c6319bb16546dda4868e30f8122c5e,宋强,42,男,教师,事业单位,26531.58,2018-01-18,成长客户,已婚,二线城市,青岛银行市南支行,2025-05-02 11:41:49,2025-05-02 11:41:49
2149bd0602ec46a6b9ee122d07142dd1,杨建军,60,女,行政人员,传统行业,10765.12,2018-12-29,忠诚客户,已婚,二线城市,青岛银行市北支行,2025-05-02 11:41:49,2025-05-02 11:41:49
6955c14012fa43ef9fd7cc3da85a9186,李春梅,52,男,零售店员,传统行业,20395.16,2016-12-22,价值客户,未婚,二线城市,青岛银行市南支行,2025-05-02 11:41:49,2025-05-02 11:41:49
60b21ef7c4ba4013980a56da45566b4c,毛燕,40,女,教师,事业单位,15726.2,2016-01-26,成熟客户,未婚,二线城市,青岛银行李沧支行,2025-05-02 11:41:49,2025-05-02 11:41:49
b3c726d85f204a60b11533e91094d8eb,何淑珍,50,女,零售店主,私营业主,59326.32,2016-09-02,成熟客户,已婚,二线城市,青岛银行城阳支行,2025-05-02 11:41:49,2025-05-02 11:41:49
775a837626bc488a9e1c422a08563899,段畅,40,女,基金经理,金融从业者,29995.18,2025-02-25,成长客户,已婚,二线城市,青岛银行市南支行,2025-05-02 11:41:49,2025-05-02 11:41:49
c39d146e997349d7a8651bfb8fdd47f9,魏平,40,男,教师,事业单位,13821.03,2019-03-18,成长客户,未婚,二线城市,青岛银行李沧支行,2025-05-02 11:41:49,2025-05-02 11:41:49
db3603e903724ef8858b81e9315ab018,栗敏,47,女,教授,专业人士,30056.56,2017-01-18,成长客户,已婚,二线城市,青岛银行李沧支行,2025-05-02 11:41:49,2025-05-02 11:41:49
d6e28674805d488fa82bebd4ce307f53,陈云,25,女,行政人员,传统行业,9896.39,2018-02-05,新客户,未婚,二线城市,青岛银行黄岛支行,2025-05-02 11:41:49,2025-05-02 11:41:49
34709c03199b4834b8056087f3070607,黄玲,27,女,基金经理,金融从业者,41668.68,2016-07-18,成熟客户,未婚,二线城市,青岛银行黄岛支行,2025-05-02 11:41:49,2025-05-02 11:41:49
7395cf98a4c3451cb810ab1128c7fee7,何丽,39,男,产品经理,互联网从业者,26217.42,2018-02-10,成熟客户,未婚,二线城市,青岛银行黄岛支行,2025-05-02 11:41:49,2025-05-02 11:41:49
255bf2f5064a485991a3df8f4d3c5eb4,吴建平,34,女,教师,事业单位,12796.69,2020-11-06,成熟客户,已婚,二线城市,青岛银行李沧支行,2025-05-02 11:41:49,2025-05-02 11:41:49
2e6755988a6a433fa9ec55a184aec82e,刘超,48,男,制造业职工,传统行业,20442.43,2020-09-12,成长客户,已婚,二线城市,青岛银行市南支行,2025-05-02 11:41:49,2025-05-02 11:41:49
ab285375e38c419f8f771512e28726d7,刘楠,35,男,会计师,专业人士,41106.95,2024-12-24,成长客户,已婚,二线城市,青岛银行崂山支行,2025-05-02 11:41:49,2025-05-02 11:41:49
3cf10c25fbc14109a76e48ea6431af1f,张瑜,30,女,科研人员,事业单位,34878.73,2022-01-23,成长客户,已婚,二线城市,青岛银行崂山支行,2025-05-02 11:41:49,2025-05-02 11:41:49
045c0fad65874b939c73caef29c1c9f6,李成,59,女,银行经理,金融从业者,35590.81,2019-07-12,成熟客户,未婚,一线城市,青岛银行市南支行,2025-05-02 11:41:49,2025-05-02 11:41:49
1f021e375bba471a965367614e9a54e4,姜琳,42,男,企业CTO,企业高管,39605.73,2025-04-04,成熟客户,未婚,二线城市,青岛银行市南支行,2025-05-02 11:41:49,2025-05-02 11:41:49
a49db1fade6d4662bd1030b6f5dbac33,黄成,45,女,产品经理,互联网从业者,38538.58,2024-01-01,成长客户,已婚,一线城市,青岛银行城阳支行,2025-05-02 11:41:49,2025-05-02 11:41:49
7c125eea21584a63b2678a8ffb024637,李辉,30,女,软件工程师,互联网从业者,35200.94,2017-03-13,新客户,已婚,一线城市,青岛银行市北支行,2025-05-02 11:41:49,2025-05-02 11:41:49
